trial,seconds,ms,parse_ok,wire_cmd,prompt_tokens,output_tokens,total_ms_ollama,load_ms_ollama,prompt_eval_ms_ollama,eval_ms_ollama,error
1,0.5585000000000946,558.5000000000946,1,SET 1,185,8,557.0436,320.2182,12.9801,86.268,
2,0.5968849999999293,596.8849999999293,1,SET 1,185,8,594.6645,336.9771,13.2051,86.6873,
3,0.6032909000000473,603.2909000000473,1,SET 1,185,8,601.5853,371.6047,13.2038,87.5072,
4,0.6117334000000483,611.7334000000483,1,SET 1,185,8,610.2132,350.0821,13.9356,91.3054,
5,0.5981465999998363,598.1465999998363,1,SET 1,185,8,596.7355,335.6919,15.0398,96.9867,
6,0.6210399000001416,621.0399000001416,1,SET 1,185,8,619.2125,319.7373,15.1221,103.2908,
7,0.7438762000001589,743.8762000001589,1,SET 1,185,8,741.7738,411.3393,18.0909,116.9863,
8,0.6125813000003291,612.5813000003291,1,SET 1,185,8,610.0835,367.201,14.46,96.0517,
9,0.6983121999996911,698.3121999996911,1,SET 1,185,8,696.5032,371.393,12.5189,93.2248,
10,0.5737920000001395,573.7920000001395,1,SET 1,185,8,572.2543,326.3305,13.2899,90.0205,
11,0.6249308000001292,624.9308000001292,1,SET 1,185,8,623.2126,327.6321,13.7762,87.5349,
12,0.6361016000000745,636.1016000000745,1,SET 1,185,8,633.586,345.2894,12.5647,90.4456,
13,0.6017768000001524,601.7768000001524,1,SET 1,185,8,600.6225,362.8659,13.0211,90.6078,
14,0.6032424999998511,603.2424999998511,1,SET 1,185,8,601.0987,364.3928,12.804,87.7677,
15,0.5990422999998373,599.0422999998373,1,SET 1,185,8,597.2033,363.8884,12.6811,86.9782,
16,0.5758429000002252,575.8429000002252,1,SET 1,185,8,573.6048,348.5615,12.7441,83.7283,
17,0.5626847999997153,562.6847999997153,1,SET 1,185,8,561.259,313.6783,12.9558,88.0392,
18,0.5401624999999513,540.1624999999513,1,SET 1,185,8,539.1536,295.3228,12.9917,91.1882,
19,0.5795952999997098,579.5952999997098,1,SET 1,185,8,576.8678,325.6158,13.3225,90.8702,
20,0.5497805999998491,549.7805999998491,1,SET 1,185,8,547.7044,296.7722,12.8714,85.4067,
21,0.5409207000002425,540.9207000002425,1,SET 1,185,8,538.316,302.7058,12.734,84.8846,
22,0.5738780000001498,573.8780000001498,1,SET 1,185,8,571.607,337.695,13.2272,83.6498,
23,0.5843502000002445,584.3502000002445,1,SET 1,185,8,582.5711,323.3417,12.8547,95.1885,
24,0.5656463000000258,565.6463000000258,1,SET 1,185,8,564.0205,323.1151,12.8512,87.9623,
25,0.5402190999998311,540.2190999998311,1,SET 1,185,8,538.0446,302.3561,13.0605,86.7778,
26,0.6054096000002573,605.4096000002573,1,SET 1,185,8,603.3589,356.012,13.9235,92.4551,
27,0.5491836000001058,549.1836000001058,1,SET 1,185,8,546.778,312.5399,13.616,84.378,
28,0.6481012999997802,648.1012999997802,1,SET 1,185,8,646.5455,401.984,14.172,90.2185,
29,0.5930589000004147,593.0589000004147,1,SET 1,185,8,590.3033,349.0248,13.8695,87.4805,
30,0.6122344000000339,612.2344000000339,1,SET 1,185,8,609.536,365.9488,14.4395,91.9661,
31,0.6317897999997513,631.7897999997513,1,SET 1,185,8,630.1029,399.9943,13.4394,86.7943,
32,0.5793468000001667,579.3468000001667,1,SET 1,185,8,577.5366,343.5792,12.5803,84.6892,
33,0.6069671999998718,606.9671999998718,1,SET 1,185,8,604.5218,364.8242,13.0882,87.3403,
34,0.6177397999999812,617.7397999999812,1,SET 1,185,8,615.6088,370.3234,13.1538,88.3402,
35,0.602122700000109,602.122700000109,1,SET 1,185,8,599.9575,367.4389,13.254,87.4288,
36,0.601871299999857,601.871299999857,1,SET 1,185,8,599.5759,367.874,12.5305,85.9489,
37,0.5931660999999622,593.1660999999622,1,SET 1,185,8,591.1074,310.3572,13.7644,92.3729,
38,0.621585999999752,621.585999999752,1,SET 1,185,8,619.0847,377.7032,13.3311,91.291,
39,0.6132113999997273,613.2113999997273,1,SET 1,185,8,611.6197,352.5708,13.8178,90.7963,
40,0.6589178999997785,658.9178999997785,1,SET 1,185,8,657.2564,370.4264,13.1477,105.9058,
41,0.6342085999999654,634.2085999999654,1,SET 1,185,8,632.3835,388.9975,13.4511,91.9124,
42,0.5842257999997855,584.2257999997855,1,SET 1,185,8,582.7734,340.3971,12.7439,89.1564,
43,0.6046816999996736,604.6816999996736,1,SET 1,185,8,602.8398,347.5342,13.2075,86.3153,
44,0.6624646000000212,662.4646000000212,1,SET 1,185,8,660.5629,424.7061,12.8629,87.0369,
45,0.6128946999997424,612.8946999997424,1,SET 1,185,8,610.3619,369.1192,12.9584,87.7863,
46,0.6454037999997126,645.4037999997126,1,SET 1,185,8,642.9714,403.3765,12.6356,87.5903,
47,0.5859870999997838,585.9870999997838,1,SET 1,185,8,584.6395,348.0346,12.8854,86.3454,
48,0.7001711999996587,700.1711999996587,1,SET 1,185,8,698.147,450.1758,13.6727,92.4606,
49,0.5722397999998066,572.2397999998066,1,SET 1,185,8,570.2291,335.6179,13.6528,90.3097,
50,0.5829650999999103,582.9650999999103,1,SET 1,185,8,580.8652,349.117,12.8406,86.8575,
51,0.577679900000021,577.679900000021,1,SET 1,185,8,575.2738,345.8412,13.1396,85.5962,
52,0.5792845000000852,579.2845000000852,1,SET 1,185,8,576.4557,346.9292,12.7181,86.7657,
53,0.5859866000000693,585.9866000000693,1,SET 1,185,8,583.7468,348.8942,11.0694,85.3161,
54,0.6597472000003108,659.7472000003108,1,SET 1,185,8,657.5224,403.779,12.9893,86.6604,
55,0.587960700000167,587.960700000167,1,SET 1,185,8,585.5774,346.4978,12.7308,87.5731,
56,0.6061837000002015,606.1837000002015,1,SET 1,185,8,603.6841,358.0272,12.7187,87.3843,
57,0.5920757000003505,592.0757000003505,1,SET 1,185,8,589.4584,347.2235,12.5952,85.5686,
58,0.5836239999998725,583.6239999998725,1,SET 1,185,8,581.1239,347.0593,12.8485,86.3196,
59,0.6009082999999009,600.9082999999009,1,SET 1,185,8,598.4282,366.8674,13.4842,84.9799,
60,0.6405580000000555,640.5580000000555,1,SET 1,185,8,638.5397,407.352,13.1989,84.0797,
61,0.6396130000002813,639.6130000002813,1,SET 1,185,8,637.0028,407.2976,11.4748,88.0197,
62,0.6102031000000352,610.2031000000352,1,SET 1,185,8,607.7487,361.8488,13.1806,84.1062,
63,0.6243961999998646,624.3961999998646,1,SET 1,185,8,621.9536,381.6714,13.1113,87.3471,
64,0.5920876000000135,592.0876000000135,1,SET 1,185,8,589.7867,349.0085,12.4744,84.737,
65,0.5575492000007216,557.5492000007216,1,SET 1,185,8,555.9564,319.1131,13.5957,86.987,
66,0.592191400000047,592.191400000047,1,SET 1,185,8,589.5111,360.1591,13.0718,86.2297,
67,0.6428352000002633,642.8352000002633,1,SET 1,185,8,640.7924,396.7948,13.1397,85.2,
68,0.6002942999994048,600.2942999994048,1,SET 1,185,8,598.9,354.583,12.7717,86.12,
69,0.5902685999999449,590.2685999999449,1,SET 1,185,8,587.7814,357.2537,12.9009,86.167,
70,0.5910431000002063,591.0431000002063,1,SET 1,185,8,588.527,354.166,12.9175,87.1724,
71,0.6182446000002528,618.2446000002528,1,SET 1,185,8,615.7594,388.8138,12.756,87.2972,
72,0.6192095999995217,619.2095999995217,1,SET 1,185,8,617.5765,382.3548,13.0609,87.1266,
73,0.5642151000001832,564.2151000001832,1,SET 1,185,8,561.8155,327.4727,12.7245,87.206,
74,0.6172277000005124,617.2277000005124,1,SET 1,185,8,615.696,368.2281,12.7989,87.6436,
75,0.6040717000005316,604.0717000005316,1,SET 1,185,8,602.3515,366.0071,12.3718,87.7799,
76,0.5557133000002068,555.7133000002068,1,SET 1,185,8,554.2475,318.9887,13.0017,84.9436,
77,0.5798379999996541,579.8379999996541,1,SET 1,185,8,578.4928,341.7019,14.2874,86.4722,
78,0.560415799999646,560.415799999646,1,SET 1,185,8,558.2026,311.805,13.0637,93.3122,
79,0.5414303999996264,541.4303999996264,1,SET 1,185,8,540.0353,308.5099,10.3603,86.4293,
