trial,seconds,ms,parse_ok,wire_cmd,prompt_tokens,output_tokens,total_ms_ollama,load_ms_ollama,prompt_eval_ms_ollama,eval_ms_ollama,error
1,0.5547389000003022,554.7389000003022,1,SET 1,185,8,552.838,313.8203,12.8727,90.5099,
2,0.560255700000198,560.255700000198,1,SET 1,185,8,558.0733,316.1587,13.5312,93.6915,
3,0.5609115999995993,560.9115999995993,1,SET 1,185,8,559.1451,329.2479,13.3816,86.2119,
4,0.5476005000000441,547.6005000000441,1,SET 1,185,8,544.9791,310.1067,12.8565,98.3354,
5,0.5656921999998303,565.6921999998303,1,SET 1,185,8,563.531,337.682,13.1892,86.9662,
6,0.5997067999996943,599.7067999996943,1,SET 1,185,8,598.4068,368.7204,12.544,87.2074,
7,0.5492538999997123,549.2538999997123,1,SET 1,185,8,547.1109,304.6652,12.5747,87.5053,
8,0.5313185000004523,531.3185000004523,1,SET 1,185,8,528.7305,300.896,13.1971,84.5456,
9,0.561310200000662,561.310200000662,1,SET 1,185,8,558.7839,334.3483,13.5788,86.9254,
10,0.5938044999993508,593.8044999993508,1,SET 1,185,8,591.6561,364.5506,13.6429,86.1399,
11,0.6077110000005632,607.7110000005632,1,SET 1,185,8,605.5477,364.7018,13.0612,86.9244,
12,0.6079583999999159,607.9583999999159,1,SET 1,185,8,605.3314,356.6202,13.9409,103.8906,
13,0.591830200000004,591.830200000004,1,SET 1,185,8,589.4693,350.5071,13.2768,87.1222,
14,0.5810019000000466,581.0019000000466,1,SET 1,185,8,578.9231,350.8882,13.1438,86.7215,
15,0.5597573999993983,559.7573999993983,1,SET 1,185,8,557.4035,327.6326,12.5794,86.4423,
16,0.5708179999992353,570.8179999992353,1,SET 1,185,8,569.1325,338.038,13.3111,87.1266,
17,0.6398042999999234,639.8042999999234,1,SET 1,185,8,637.1064,391.6896,12.7795,86.6457,
18,0.5812398999996731,581.2398999996731,1,SET 1,185,8,579.7477,348.8363,13.2711,87.4992,
19,0.5770251000003555,577.0251000003555,1,SET 1,185,8,574.6127,337.343,12.7593,92.2084,
20,0.6083163000002969,608.3163000002969,1,SET 1,185,8,605.8034,360.4457,14.0854,97.5416,
21,0.6032901999997193,603.2901999997193,1,SET 1,185,8,601.02,351.334,13.8347,103.5791,
22,0.5819685999995272,581.9685999995272,1,SET 1,185,8,580.874,336.1438,15.5396,102.9438,
23,0.5628520999998727,562.8520999998727,1,SET 1,185,8,561.2173,340.6302,12.9556,87.3592,
24,0.5527757999998357,552.7757999998357,1,SET 1,185,8,550.5814,324.9538,12.5265,88.3521,
25,0.6016388999996707,601.6388999996707,1,SET 1,185,8,599.0422,361.584,13.2995,86.6355,
26,0.587122900000395,587.122900000395,1,SET 1,185,8,584.6937,354.1818,13.0722,85.7004,
27,0.5678812999994989,567.8812999994989,1,SET 1,185,8,565.3751,332.1965,13.1809,88.4606,
28,0.5569385999997394,556.9385999997394,1,SET 1,185,8,555.0004,330.1108,12.9267,87.1178,
29,0.5673534000006839,567.3534000006839,1,SET 1,185,8,565.087,339.7812,12.4651,87.7338,
30,0.5828555999996752,582.8555999996752,1,SET 1,185,8,580.2248,354.1753,13.0913,86.6324,
31,0.5777513000002727,577.7513000002727,1,SET 1,185,8,575.3295,340.1033,13.4234,90.7315,
32,0.6040143000000171,604.0143000000171,1,SET 1,185,8,602.3026,354.3586,14.4335,94.5971,
33,0.569691600000624,569.691600000624,1,SET 1,185,8,567.8956,345.0306,12.8024,87.7137,
34,0.5530133000002024,553.0133000002024,1,SET 1,185,8,551.1295,317.8066,13.2599,83.2959,
35,0.5668550999998843,566.8550999998843,1,SET 1,185,8,564.0203,339.1206,12.4508,86.8731,
36,0.622552199999518,622.552199999518,1,SET 1,185,8,620.9223,392.2949,12.9475,86.5949,
37,0.6068273000000772,606.8273000000772,1,SET 1,185,8,604.9678,370.7298,12.5009,86.5194,
38,0.6097184000000198,609.7184000000198,1,SET 1,185,8,607.4264,378.7894,13.079,82.2397,
39,0.6022270000003118,602.2270000003118,1,SET 1,185,8,599.9956,374.5916,13.2433,85.0676,
40,0.5663153999994393,566.3153999994393,1,SET 1,185,8,563.3857,336.6393,13.3213,87.7348,
41,0.611485200000061,611.485200000061,1,SET 1,185,8,608.9961,375.5433,13.4838,88.7603,
42,0.626581200000146,626.581200000146,1,SET 1,185,8,623.9189,388.5905,13.5685,88.3632,
43,0.6428046999999424,642.8046999999424,1,SET 1,185,8,640.3171,395.8079,12.8087,87.7011,
44,0.5722647000002326,572.2647000002326,1,SET 1,185,8,570.7823,337.8657,13.1661,87.2694,
45,0.5525343999997858,552.5343999997858,1,SET 1,185,8,549.6656,318.6429,13.3427,88.5396,
46,0.6188321999998152,618.8321999998152,1,SET 1,185,8,616.3173,370.9368,13.0035,86.793,
47,0.5736192000003939,573.6192000003939,1,SET 1,185,8,569.2792,337.9715,12.9144,86.4469,
48,0.5993048000000272,599.3048000000272,1,SET 1,185,8,596.7427,361.5935,13.0237,87.5861,
49,0.5581897000001845,558.1897000001845,1,SET 1,185,8,556.207,327.5009,12.7096,87.3744,
50,0.55790320000051,557.90320000051,1,SET 1,185,8,555.5643,325.4077,13.0595,87.6365,
51,0.6272192000005816,627.2192000005816,1,SET 1,185,8,625.369,391.3809,12.8544,94.0122,
52,0.6278937999995833,627.8937999995833,1,SET 1,185,8,625.7352,390.162,13.872,94.3271,
53,0.6331589999999778,633.1589999999778,1,SET 1,185,8,631.8177,403.85,13.0162,87.9504,
54,0.5962674000002153,596.2674000002153,1,SET 1,185,8,594.1155,353.8988,12.6038,88.1492,
55,0.6260064999996757,626.0064999996757,1,SET 1,185,8,623.8927,376.3958,14.0102,93.5775,
56,0.6585697999998956,658.5697999998956,1,SET 1,185,8,656.1057,424.1844,13.0888,84.8829,
57,0.5565690000003087,556.5690000003087,1,SET 1,185,8,554.4645,322.6579,13.2299,86.9269,
58,0.5567635999996128,556.7635999996128,1,SET 1,185,8,555.0076,324.6901,13.1098,86.1324,
59,0.5644369999999981,564.4369999999981,1,SET 1,185,8,562.1067,312.7578,14.1414,94.5463,
60,0.5772927999996682,577.2927999996682,1,SET 1,185,8,574.6841,339.9943,12.7868,87.97,
61,0.5333135000000766,533.3135000000766,1,SET 1,185,8,532.0301,294.1883,13.7434,90.8986,
62,0.6531070000000909,653.1070000000909,1,SET 1,185,8,650.363,415.1407,13.9453,92.8932,
63,0.5676315000000614,567.6315000000614,1,SET 1,185,8,566.3134,333.4463,13.0584,88.4665,
64,0.5778135000000475,577.8135000000475,1,SET 1,185,8,575.5045,345.8051,12.7964,86.7917,
65,0.6142924999994648,614.2924999994648,1,SET 1,185,8,611.5697,377.8295,13.038,87.8164,
66,0.590194700000211,590.194700000211,1,SET 1,185,8,588.2844,353.0741,13.0849,86.1826,
67,0.5908323999992717,590.8323999992717,1,SET 1,185,8,588.3867,365.2249,13.5081,85.4934,
68,0.6248428999997486,624.8428999997486,1,SET 1,185,8,623.5558,394.7075,13.0958,82.4254,
