trial,seconds,ms,parse_ok,wire_cmd,prompt_tokens,output_tokens,total_ms_ollama,load_ms_ollama,prompt_eval_ms_ollama,eval_ms_ollama,error
1,0.5726406000003408,572.6406000003408,1,SET 1,185,8,571.7247,323.9516,14.7865,86.4886,
2,0.5663129999998091,566.3129999998091,1,SET 1,185,8,563.9435,310.5611,13.6544,94.3319,
3,0.564938500000153,564.938500000153,1,SET 1,185,8,562.82,327.122,13.4974,87.3954,
4,0.5737030999998751,573.7030999998751,1,SET 1,185,8,572.1328,321.8942,13.1392,88.6088,
5,0.5418544999997721,541.8544999997721,1,SET 1,185,8,539.7987,300.5045,12.9576,89.2686,
6,0.5680629000003137,568.0629000003137,1,SET 1,185,8,565.6119,329.0527,12.969,87.5796,
7,0.5686875999999756,568.6875999999756,1,SET 1,185,8,566.7005,320.3868,13.4139,86.7166,
8,0.547885199999655,547.885199999655,1,SET 1,185,8,546.1217,298.3923,12.8918,87.4104,
9,0.6274687999998605,627.4687999998605,1,SET 1,185,8,625.6524,356.2614,13.0897,89.5604,
10,0.7955830000000788,795.5830000000788,1,SET 1,185,8,793.7038,520.3052,12.9392,88.2373,
11,0.8035485999998855,803.5485999998855,1,SET 1,185,8,800.9908,502.4229,14.0446,93.3985,
12,0.7989886000000297,798.9886000000297,1,SET 1,185,8,796.2078,487.8492,11.2986,89.5946,
13,0.7644403000003877,764.4403000003877,1,SET 1,185,8,761.9542,483.2805,12.8202,88.2932,
14,0.85569919999989,855.69919999989,1,SET 1,185,8,853.3104,539.6994,13.0842,89.4321,
15,0.8251079000001482,825.1079000001482,1,SET 1,185,8,822.3189,542.0632,13.1878,88.1021,
16,0.8194655000002058,819.4655000002058,1,SET 1,185,8,816.5005,542.005,12.1077,88.3019,
17,0.8388636999998198,838.8636999998198,1,SET 1,185,8,836.0651,520.6819,14.7718,97.1656,
18,0.8291350999998031,829.1350999998031,1,SET 1,185,8,826.1208,534.5006,14.3398,93.986,
19,0.829830800000309,829.830800000309,1,SET 1,185,8,827.3247,543.2715,15.5402,90.4076,
20,0.7933484999998655,793.3484999998655,1,SET 1,185,8,791.2421,509.5404,13.6097,87.5683,
21,0.8127066000001832,812.7066000001832,1,SET 1,185,8,811.1688,522.6226,14.4434,92.9427,
22,0.7764218000002074,776.4218000002074,1,SET 1,185,8,774.586,482.5022,13.4042,89.0986,
23,0.7914591999997356,791.4591999997356,1,SET 1,185,8,789.1574,514.3438,12.9116,88.8831,
24,0.7866784999996526,786.6784999996526,1,SET 1,185,8,784.2273,507.4037,12.9134,89.7714,
25,0.7924542000000656,792.4542000000656,1,SET 1,185,8,788.9149,511.4106,11.7238,87.6896,
26,0.7865497000002506,786.5497000002506,1,SET 1,185,8,784.4385,516.2762,12.9986,90.4532,
27,0.8245867999999064,824.5867999999064,1,SET 1,185,8,822.7727,545.0853,13.1379,90.8798,
28,0.7743405000001076,774.3405000001076,1,SET 1,185,8,772.0169,503.3847,13.2044,89.06,
29,0.7753246000002036,775.3246000002036,1,SET 1,185,8,772.8192,509.0791,13.0749,87.4001,
30,0.7591440999999577,759.1440999999577,1,SET 1,185,8,757.1054,485.0717,13.5479,88.8425,
31,0.8395489999998063,839.5489999998063,1,SET 1,185,8,836.7593,550.8432,15.1372,97.31,
32,0.8135985999997501,813.5985999997501,1,SET 1,185,8,811.7381,488.3751,11.3632,98.2614,
33,0.789020199999868,789.020199999868,1,SET 1,185,8,786.8393,516.8356,13.6281,89.4438,
34,0.7811000000001513,781.1000000001513,1,SET 1,185,8,778.8879,513.9101,12.6875,87.2431,
35,0.7831152999997357,783.1152999997357,1,SET 1,185,8,779.9664,483.0655,14.0677,94.1742,
36,0.8025923000000148,802.5923000000148,1,SET 1,185,8,800.8519,507.1488,12.8296,101.6319,
37,0.76324059999979,763.24059999979,1,SET 1,185,8,761.3586,458.9902,17.9762,117.4249,
38,0.7128551000000698,712.8551000000698,1,SET 1,185,8,710.304,458.8936,10.6111,92.0624,
39,0.6409120999996958,640.9120999996958,1,SET 1,185,8,639.2018,405.2908,13.2586,87.5541,
40,0.6493583999999828,649.3583999999828,1,SET 1,185,8,647.8115,412.3908,12.8337,87.4961,
41,0.684148699999696,684.148699999696,1,SET 1,185,8,682.4268,428.0432,14.026,87.0778,
42,0.6882705000002716,688.2705000002716,1,SET 1,185,8,685.2791,423.5689,12.1293,91.2718,
43,0.6776444000001902,677.6444000001902,1,SET 1,185,8,674.9889,435.1301,12.9604,87.3324,
44,0.6542911999999887,654.2911999999887,1,SET 1,185,8,652.3445,415.058,13.1894,85.0743,
45,0.6419562999999471,641.9562999999471,1,SET 1,185,8,640.0706,401.0797,12.8728,86.591,
46,0.6360166999998,636.0166999998,1,SET 1,185,8,633.325,394.3762,12.4267,84.161,
47,0.6606844000002638,660.6844000002638,1,SET 1,185,8,658.3171,400.9246,13.04,87.0749,
48,0.6252395000001343,625.2395000001343,1,SET 1,185,8,622.6163,377.5102,12.9011,87.977,
49,0.666533999999956,666.533999999956,1,SET 1,185,8,664.2696,425.2455,13.347,90.7325,
50,0.6825864000002184,682.5864000002184,1,SET 1,185,8,681.038,439.7705,12.8311,88.6238,
51,0.7153315999998995,715.3315999998995,1,SET 1,185,8,712.4807,433.6571,13.3722,97.6331,
52,0.7253304000000753,725.3304000000753,1,SET 1,185,8,722.6706,441.697,14.2242,89.1644,
53,0.6688737999998011,668.8737999998011,1,SET 1,185,8,666.5993,428.8021,12.9356,87.3687,
54,0.6482594000003701,648.2594000003701,1,SET 1,185,8,645.9118,388.2567,13.3525,86.869,
55,0.6370289999999841,637.0289999999841,1,SET 1,185,8,635.3103,392.0175,13.1513,87.1942,
56,0.6439652999997634,643.9652999997634,1,SET 1,185,8,642.1787,394.5369,12.7958,85.4631,
57,0.6308972000001631,630.8972000001631,1,SET 1,185,8,628.2061,385.3277,13.4589,89.7029,
58,0.6449858999999378,644.9858999999378,1,SET 1,185,8,643.1251,401.214,12.9165,82.6729,
59,0.6391491000003953,639.1491000003953,1,SET 1,185,8,636.6941,403.5968,9.763,88.1376,
60,0.6290675000000192,629.0675000000192,1,SET 1,185,8,626.9038,369.5626,12.8761,87.5742,
61,0.6866832999999133,686.6832999999133,1,SET 1,185,8,684.6465,409.6038,13.8447,94.1701,
62,0.7259846000001744,725.9846000001744,1,SET 1,185,8,723.9842,432.6294,13.9613,94.4382,
63,0.739092900000287,739.092900000287,1,SET 1,185,8,736.0198,463.0745,13.1193,89.5828,
64,0.7225189999999202,722.5189999999202,1,SET 1,185,8,720.0979,444.395,13.846,95.9215,
65,0.771486300000106,771.486300000106,1,SET 1,185,8,768.9688,523.4234,13.3319,84.4842,
66,0.6809948000000077,680.9948000000077,1,SET 1,185,8,678.7881,439.0008,12.9578,86.7815,
67,0.6689191999998911,668.9191999998911,1,SET 1,185,8,667.3808,410.1759,13.1777,87.9406,
68,0.6753853000000163,675.3853000000163,1,SET 1,185,8,672.5322,423.5422,12.8196,87.0123,
69,0.6870185000002493,687.0185000002493,1,SET 1,185,8,685.672,431.1173,13.0624,92.4971,
70,0.7240061000002243,724.0061000002243,1,SET 1,185,8,721.8793,450.6919,13.0982,87.3705,
71,0.7522273999998106,752.2273999998106,1,SET 1,185,8,750.354,458.7596,13.9209,92.3766,
72,0.747090500000013,747.090500000013,1,SET 1,185,8,745.2264,468.5358,13.4043,84.9486,
73,0.688044600000012,688.044600000012,1,SET 1,185,8,685.6318,442.6151,12.6458,87.8355,
74,0.6598030000000108,659.8030000000108,1,SET 1,185,8,657.7083,411.3136,12.9028,87.2256,
75,0.7092376000000513,709.2376000000513,1,SET 1,185,8,706.791,465.318,13.2946,86.9912,
76,0.7349162999998953,734.9162999998953,1,SET 1,185,8,733.4013,465.4632,13.0132,87.149,
77,0.7273064999999406,727.3064999999406,1,SET 1,185,8,725.4616,467.0219,12.8294,87.0366,
78,0.6440050999999585,644.0050999999585,1,SET 1,185,8,642.0995,391.6644,12.9532,87.805,
79,0.6725268000000142,672.5268000000142,1,SET 1,185,8,670.9069,399.4454,13.0591,87.3696,
80,0.7279413999999633,727.9413999999633,1,SET 1,185,8,725.8106,467.4551,13.2748,88.6344,
81,0.692902000000231,692.902000000231,1,SET 1,185,8,690.9458,426.1664,14.1824,92.9763,
82,0.7200690000004215,720.0690000004215,1,SET 1,185,8,717.8469,436.5825,13.6248,89.3832,
83,0.7829178000001775,782.9178000001775,1,SET 1,185,8,781.0234,485.2544,12.9338,87.1565,
84,0.7483805000001666,748.3805000001666,1,SET 1,185,8,746.399,480.8717,13.3078,86.4079,
85,0.7585030999998708,758.5030999998708,1,SET 1,185,8,755.7367,454.1695,12.6024,95.3093,
86,0.7770284999996875,777.0284999996875,1,SET 1,185,8,774.9909,509.9248,13.2582,89.8101,
87,0.7851090999997723,785.1090999997723,1,SET 1,185,8,782.4497,478.5318,12.0928,90.2096,
88,0.8074587999999494,807.4587999999494,1,SET 1,185,8,804.3827,527.0029,14.0026,92.8447,
89,0.718983599999774,718.983599999774,1,SET 1,185,8,716.14,427.0261,14.0228,90.1192,
90,0.7259100000001126,725.9100000001126,1,SET 1,185,8,724.2354,431.295,13.5307,92.7651,
91,0.8398603000000548,839.8603000000548,1,SET 1,185,8,837.3161,525.9186,13.623,92.3606,
92,0.8090946000002077,809.0946000002077,1,SET 1,185,8,806.8942,471.8218,11.5654,88.4417,
93,0.8221820999997362,822.1820999997362,1,SET 1,185,8,819.5194,538.1887,13.6321,87.2747,
94,0.7661582000000635,766.1582000000635,1,SET 1,185,8,764.3928,487.051,13.5188,88.3534,
95,0.8148787999998603,814.8787999998603,1,SET 1,185,8,812.2173,519.77,11.9249,91.5754,
96,0.8725420999999187,872.5420999999187,1,SET 1,185,8,870.1176,550.1168,11.5316,95.2338,
97,0.8446788999999626,844.6788999999626,1,SET 1,185,8,841.5883,496.9393,14.043,90.1393,
98,0.8771215999995547,877.1215999995547,1,SET 1,185,8,874.2307,507.7106,14.1424,94.3236,
99,0.9105761000000712,910.5761000000712,1,SET 1,185,8,907.826,555.2499,13.5194,87.8888,
100,0.8350828999996338,835.0828999996338,1,SET 1,185,8,831.7864,535.18,13.6416,88.0656,
101,0.8327831000001424,832.7831000001424,1,SET 1,185,8,829.6486,509.538,14.0493,95.0356,
102,0.7934089999998832,793.4089999998832,1,SET 1,185,8,791.1694,460.1324,11.4189,99.6995,
103,0.8098249999998188,809.8249999998188,1,SET 1,185,8,807.8254,510.0368,13.1819,89.4582,
104,0.7972288000000844,797.2288000000844,1,SET 1,185,8,794.476,506.3245,13.8384,88.6552,
105,0.787498499999856,787.498499999856,1,SET 1,185,8,785.2183,511.2308,13.2796,89.4163,
106,0.8266456000001199,826.6456000001199,1,SET 1,185,8,823.334,546.5378,13.4993,86.6704,
