trial,seconds,ms,parse_ok,wire_cmd,prompt_tokens,output_tokens,total_ms_ollama,load_ms_ollama,prompt_eval_ms_ollama,eval_ms_ollama,error
1,0.6839678999999705,683.9678999999705,1,SET 1,185,8,682.2576,356.5273,13.8311,88.092,
2,0.6759578999999576,675.9578999999576,1,SET 1,185,8,674.4571,373.6982,13.5919,95.4099,
3,0.6392266000002564,639.2266000002564,1,SET 1,185,8,637.2457,373.7667,13.2467,87.7348,
4,0.6346952999997484,634.6952999997484,1,SET 1,185,8,632.4291,382.1863,13.236,86.9099,
5,0.6184466999998222,618.4466999998222,1,SET 1,185,8,616.8832,361.7125,12.9987,88.6717,
6,0.6103180000000066,610.3180000000066,1,SET 1,185,8,608.6043,355.6059,13.363,88.7687,
7,0.6481122000000141,648.1122000000141,1,SET 1,185,8,646.5659,346.1503,12.9321,87.8358,
8,0.8922351000001072,892.2351000001072,1,SET 1,185,8,890.3568,590.5505,12.9469,86.8723,
9,0.8186790000004294,818.6790000004294,1,SET 1,185,8,815.3344,504.915,12.7519,87.2167,
10,0.8496892999996817,849.6892999996817,1,SET 1,185,8,843.8482,508.9577,14.3027,99.9027,
11,0.8176818000001731,817.6818000001731,1,SET 1,185,8,815.1008,533.6094,13.7012,92.202,
12,0.7886044000001675,788.6044000001675,1,SET 1,185,8,785.6532,508.7396,13.2711,87.6901,
13,0.8579921999998987,857.9921999998987,1,SET 1,185,8,855.4322,548.5807,11.377,87.4476,
14,0.8201469999999063,820.1469999999063,1,SET 1,185,8,817.826,524.7144,12.6098,87.2074,
15,0.7391787000001386,739.1787000001386,1,SET 1,185,8,737.2292,467.984,13.3493,87.4003,
16,0.840628899999956,840.628899999956,1,SET 1,185,8,838.2065,550.2709,13.4143,88.1335,
17,0.8408349000001181,840.8349000001181,1,SET 1,185,8,838.1331,556.6682,13.3566,89.3404,
18,0.7699461000001975,769.9461000001975,1,SET 1,185,8,767.366,480.4099,11.879,87.537,
19,0.7898370000002615,789.8370000002615,1,SET 1,185,8,787.0596,500.5267,12.9919,86.5506,
20,0.8324744000001374,832.4744000001374,1,SET 1,185,8,829.4762,529.2515,13.8865,89.5136,
21,0.7696280999998635,769.6280999998635,1,SET 1,185,8,767.4045,498.4592,13.9327,86.3813,
22,0.8181918999998743,818.1918999998743,1,SET 1,185,8,816.5977,543.1153,13.0593,88.0181,
23,0.7042544000000817,704.2544000000817,1,SET 1,185,8,701.8366,446.2551,12.9208,97.9302,
24,0.7579098999999587,757.9098999999587,1,SET 1,185,8,755.5503,498.0779,12.7768,87.0502,
25,0.742949999999837,742.949999999837,1,SET 1,185,8,741.1368,474.2558,13.0311,85.4454,
26,0.6946726000001036,694.6726000001036,1,SET 1,185,8,692.5097,412.9769,12.8885,95.8874,
27,0.7294990999998845,729.4990999998845,1,SET 1,185,8,726.9631,456.5251,12.9509,87.8402,
28,0.7069375999999465,706.9375999999465,1,SET 1,185,8,705.1543,430.3556,12.7157,86.6978,
29,0.7764748999998119,776.4748999998119,1,SET 1,185,8,774.3578,460.1223,11.047,104.1838,
30,0.7289909999999509,728.9909999999509,1,SET 1,185,8,726.8206,455.3571,13.1456,85.1293,
31,0.7578373999999712,757.8373999999712,1,SET 1,185,8,755.6196,483.6738,12.9794,94.2022,
32,0.7709356000000298,770.9356000000298,1,SET 1,185,8,768.7818,468.6369,11.6263,88.3898,
33,0.7942649000001438,794.2649000001438,1,SET 1,185,8,791.8338,513.4095,13.2643,86.9719,
34,0.7235904999997729,723.5904999997729,1,SET 1,185,8,721.7694,465.3836,12.861,91.651,
35,0.7715518999998494,771.5518999998494,1,SET 1,185,8,769.4819,494.0002,13.2621,86.9309,
36,0.7876266000002943,787.6266000002943,1,SET 1,185,8,785.9054,523.3041,13.1384,86.8585,
37,0.7538752000000386,753.8752000000386,1,SET 1,185,8,752.8292,468.2088,14.37,92.0534,
38,0.6988461999999345,698.8461999999345,1,SET 1,185,8,696.3312,439.1032,13.1337,88.5933,
39,0.7196790999996665,719.6790999996665,1,SET 1,185,8,717.9929,469.8216,12.707,87.1362,
40,0.7249285000002601,724.9285000002601,1,SET 1,185,8,723.3125,450.8626,13.1276,86.1086,
41,0.7277081000001999,727.7081000001999,1,SET 1,185,8,726.3418,434.6364,11.7632,94.7232,
42,0.7319969000000128,731.9969000000128,1,SET 1,185,8,729.0034,445.6444,13.9358,90.1337,
43,0.8026406999997562,802.6406999997562,1,SET 1,185,8,800.0795,552.2517,12.9495,87.9879,
44,0.7550546000002214,755.0546000002214,1,SET 1,185,8,752.6401,490.3504,12.8181,87.3298,
45,0.6918143000002601,691.8143000002601,1,SET 1,185,8,689.3784,410.7368,13.0885,88.426,
46,0.7218528999997034,721.8528999997034,1,SET 1,185,8,720.4539,450.6972,12.9187,89.1122,
47,0.795957300000282,795.957300000282,1,SET 1,185,8,793.8309,508.2448,12.6067,86.1332,
48,0.784074099999998,784.074099999998,1,SET 1,185,8,781.1639,518.8669,13.1348,87.6762,
49,0.7437490000002072,743.7490000002072,1,SET 1,185,8,741.3161,460.2824,13.2813,88.0129,
50,0.7466689000002589,746.6689000002589,1,SET 1,185,8,744.2712,472.686,13.2872,88.677,
51,0.7255135000000337,725.5135000000337,1,SET 1,185,8,723.6493,449.9078,13.734,91.8197,
52,0.7550931000000674,755.0931000000674,1,SET 1,185,8,752.986,437.5844,13.9906,87.9507,
53,0.727148699999816,727.148699999816,1,SET 1,185,8,724.7575,456.0773,13.2842,87.8538,
54,0.6884578999997757,688.4578999997757,1,SET 1,185,8,686.7411,448.8759,12.6119,86.0319,
55,0.7482092000000193,748.2092000000193,1,SET 1,185,8,746.0713,485.8062,12.8328,95.5409,
56,0.7029900000002272,702.9900000002272,1,SET 1,185,8,701.7693,433.3312,13.3017,86.992,
57,0.7063904999999977,706.3904999999977,1,SET 1,185,8,704.1707,438.0569,12.9984,87.661,
58,0.7438626999996814,743.8626999996814,1,SET 1,185,8,741.1041,483.4334,12.9967,86.5717,
59,0.7498812000003454,749.8812000003454,1,SET 1,185,8,747.1571,489.6219,12.6835,87.4385,
60,0.6608855000004041,660.8855000004041,1,SET 1,185,8,658.3275,407.2036,13.1298,86.4324,
61,0.7111125999999786,711.1125999999786,1,SET 1,185,8,709.7604,467.4527,13.8397,91.7494,
62,0.770300899999711,770.300899999711,1,SET 1,185,8,768.2315,496.6944,13.7689,88.123,
63,0.7557228999999097,755.7228999999097,1,SET 1,185,8,753.2121,494.454,12.7757,86.3721,
64,0.6897887000000082,689.7887000000082,1,SET 1,185,8,688.112,433.611,12.6473,87.6724,
65,0.7201215999998567,720.1215999998567,1,SET 1,185,8,717.9121,475.1607,12.8193,87.8439,
66,0.7309377999999924,730.9377999999924,1,SET 1,185,8,727.7977,456.7453,12.9837,87.0244,
67,0.6847094999998262,684.7094999998262,1,SET 1,185,8,682.9193,417.9006,13.1407,86.7305,
68,0.7046939000001657,704.6939000001657,1,SET 1,185,8,703.0781,462.0809,12.788,87.025,
69,0.7185567999999876,718.5567999999876,1,SET 1,185,8,716.1263,454.7016,13.0494,88.8655,
70,0.6963400999998157,696.3400999998157,1,SET 1,185,8,693.9401,425.651,12.7529,86.7129,
71,0.6615363000000798,661.5363000000798,1,SET 1,185,8,659.6376,407.1396,12.9412,93.1389,
72,0.7199699999996483,719.9699999996483,1,SET 1,185,8,717.6845,448.4979,14.0078,91.2077,
73,0.7048737000000074,704.8737000000074,1,SET 1,185,8,702.2884,448.968,12.9884,87.4525,
74,0.7100666000001183,710.0666000001183,1,SET 1,185,8,707.8232,432.4799,13.0803,87.5868,
75,0.707979400000113,707.979400000113,1,SET 1,185,8,706.4847,463.4084,12.8732,87.2556,
76,0.7431290999998055,743.1290999998055,1,SET 1,185,8,741.0309,488.0022,12.9415,88.7368,
77,0.6974526999997579,697.4526999997579,1,SET 1,185,8,695.7499,432.4513,12.9909,86.4996,
78,0.6689506999996411,668.9506999996411,1,SET 1,185,8,667.121,429.5019,12.8465,86.3345,
79,0.7016764999998486,701.6764999998486,1,SET 1,185,8,699.2661,448.5595,13.2482,86.4249,
80,0.6572175000001153,657.2175000001153,1,SET 1,185,8,654.6856,421.9457,12.7552,88.0747,
81,0.6368328000003203,636.8328000003203,1,SET 1,185,8,634.9674,371.6636,12.938,92.7388,
82,0.6906097000000955,690.6097000000955,1,SET 1,185,8,688.8972,433.1851,13.7607,91.5162,
83,0.6677503000000797,667.7503000000797,1,SET 1,185,8,665.8199,411.6641,13.2345,87.2348,
84,0.6777084000000286,677.7084000000286,1,SET 1,185,8,675.5944,437.3558,12.6832,87.5233,
85,0.6596038000002409,659.6038000002409,1,SET 1,185,8,657.624,423.6012,13.3758,88.346,
86,0.7021724999999606,702.1724999999606,1,SET 1,185,8,701.2612,436.7627,13.4049,87.7964,
87,0.8125865000001795,812.5865000001795,1,SET 1,185,8,811.4264,537.427,13.4124,88.4369,
88,0.7878349999996317,787.8349999996317,1,SET 1,185,8,785.6978,528.9154,13.6477,94.3384,
89,0.6959327999998095,695.9327999998095,1,SET 1,185,8,693.5131,420.3694,14.5315,102.2996,
90,0.6312816999998176,631.2816999998176,1,SET 1,185,8,629.1059,385.2246,13.6113,90.7637,
91,0.6599067999995896,659.9067999995896,1,SET 1,185,8,658.3548,404.1318,13.0204,90.2949,
92,0.6869241999997939,686.9241999997939,1,SET 1,185,8,684.5256,424.9648,13.8168,92.0804,
93,0.6414435000001504,641.4435000001504,1,SET 1,185,8,639.4151,404.5505,12.8162,88.4032,
94,0.6893604000001687,689.3604000001687,1,SET 1,185,8,686.8433,436.852,13.326,89.1742,
95,0.6779877999997552,677.9877999997552,1,SET 1,185,8,675.1222,430.5255,12.8877,86.7665,
96,0.7140235000001667,714.0235000001667,1,SET 1,185,8,712.2287,445.8822,13.1364,88.4839,
97,0.6991502999999284,699.1502999999284,1,SET 1,185,8,697.1512,454.5957,12.882,88.502,
98,0.6899576000000707,689.9576000000707,1,SET 1,185,8,687.1814,430.9812,13.3957,86.4012,
99,0.6539422000000741,653.9422000000741,1,SET 1,185,8,653.1284,385.1961,13.2143,89.2986,
100,0.7701664000001074,770.1664000001074,1,SET 1,185,8,768.3021,498.4649,13.22,87.2252,
